"brand,""model"",""Year"",""trim"",""price"",""body_type"",""doors"",""total_seating"",""wheelbase"",""cargo_capacity"",""curb_weight"",""gross_weight"",""maximum_payload"",""towing_capacity"",""engine_size"",""horsepower"",""torque"",""drive_type"",""engine_type"",""mpg"",""image"",""electric_range"",""EPA time to charge battery (at 240V) (hr)"",""battery_capacity (KWh)"""
"Acura,""RDX"",2025,""4dr SUV AWD w/A-Spec Package (2.0L 4cyl Turbo 10A)"",50300,""SUV"",5,5,108.3,29.5,4024,"""","""",1500,2,272,280,""all wheel drive"",""gas"",23,""https://media.ed.edmunds-media.com/acura/rdx/2025/oem/2025_acura_rdx_4dr-suv_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""TLX"",2025,""Type S 4dr Sedan AWD (3.0L 6cyl Turbo 10A)"",57750,""Sedan"",4,5,113,13.5,4221,"""","""","""",3,355,354,""all wheel drive"",""gas"",21,""https://media.ed.edmunds-media.com/acura/tlx/2025/oem/2025_acura_tlx_sedan_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""TLX"",2025,""4dr Sedan w/Technology Package (2.0L 4cyl Turbo 10A)"",45400,""Sedan"",4,5,113,13.5,3756,"""","""","""",2,272,280,""front wheel drive"",""gas"",25,""https://media.ed.edmunds-media.com/acura/tlx/2025/oem/2025_acura_tlx_sedan_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""TLX"",2025,""4dr Sedan AWD w/A-Spec Package (2.0L 4cyl Turbo 10A)"",50400,""Sedan"",4,5,113,13.5,3990,"""","""","""",2,272,280,""all wheel drive"",""gas"",24,""https://media.ed.edmunds-media.com/acura/tlx/2025/oem/2025_acura_tlx_sedan_base_fq_oem_1_815.jpg"","""","""","""""
"Alfa Romeo,""Giulia"",2025,""4dr Sedan AWD (2.0L 4cyl Turbo 8A)"",45995,""Sedan"",4,5,111,"""",3632,4723,905,"""",2,280,306,""all wheel drive"",""gas"",26,""https://media.ed.edmunds-media.com/alfa-romeo/giulia/2024/oem/2024_alfa-romeo_giulia_sedan_veloce_fq_oem_1_815.jpg"","""","""","""""
"Alfa Romeo,""Giulia"",2025,""4dr Sedan (2.0L 4cyl Turbo 8A)"",43995,""Sedan"",4,5,111,"""",3521,4612,905,"""",2,280,306,""rear wheel drive"",""gas"",27,""https://media.ed.edmunds-media.com/alfa-romeo/giulia/2024/oem/2024_alfa-romeo_giulia_sedan_veloce_fq_oem_1_815.jpg"","""","""","""""
"Alfa Romeo,""Giulia"",2025,""Tributo Italiano 4dr Sedan (2.0L 4cyl Turbo 8A)"",48995,""Sedan"",4,5,111,"""",3521,4612,905,"""",2,280,306,""rear wheel drive"",""gas"",27,""https://media.ed.edmunds-media.com/alfa-romeo/giulia/2024/oem/2024_alfa-romeo_giulia_sedan_veloce_fq_oem_1_815.jpg"","""","""","""""
"Alfa Romeo,""Giulia"",2025,""Tributo Italiano 4dr Sedan AWD (2.0L 4cyl Turbo 8A)"",50995,""Sedan"",4,5,111,"""",3632,4723,905,"""",2,280,306,""all wheel drive"",""gas"",26,""https://media.ed.edmunds-media.com/alfa-romeo/giulia/2024/oem/2024_alfa-romeo_giulia_sedan_veloce_fq_oem_1_815.jpg"","""","""","""""
"Alfa Romeo,""Stelvio"",2025,""4dr SUV AWD (2.0L 4cyl Turbo 8A)"",48995,""SUV"",5,5,111,18.5,4007,5247,"""",3000,2,280,306,""all wheel drive"",""gas"",24,""https://media.ed.edmunds-media.com/alfa-romeo/stelvio/2025/oem/2025_alfa-romeo_stelvio_4dr-suv_tributo-italiano_fq_oem_1_815.jpg"","""","""","""""
"Alfa Romeo,""Stelvio"",2025,""Tributo Italiano 4dr SUV AWD (2.0L 4cyl Turbo 8A)"",55995,""SUV"",5,5,111,18.5,"""",5247,"""",3000,2,280,306,""all wheel drive"",""gas"",24,""https://media.ed.edmunds-media.com/alfa-romeo/stelvio/2025/oem/2025_alfa-romeo_stelvio_4dr-suv_tributo-italiano_fq_oem_1_815.jpg"","""","""","""""
"Alfa Romeo,""Tonale"",2025,""4dr SUV AWD (1.3L 4cyl Turbo gas/electric plug-in hybrid 6A)"",45995,""SUV"",5,5,103.8,22.9,4133,5335,1197,2000,1.3,285,347,""all wheel drive"",""plug-in hybrid"",29,""https://media.ed.edmunds-media.com/alfa-romeo/tonale/2025/oem/2025_alfa-romeo_tonale_4dr-suv_tributo-italiano_fq_oem_1_815.jpg"",33,"""","""""
